ISO3;Branch;Location;lat;lng;Staff;Volunteers
BDI;Mwaro;Mwaro;-3.496656;29.735421;0;22221
BDI;Ruyigi;Ruyugi;-3.472299;30.247164;0;21061
BDI;Rutana;Rutana;-3.850983;30.119438;0;13070
BDI;Munyinga;Munyinga;-2.84459;30.343429;0;34158
BDI;Rumonge;Rumonge;-3.968183;29.441499;0;19568
BDI;Ngozi;Ngozi;-2.908818,29.824909;0;35878
BDI;Kirundo;Kirundo;-2.577201;30.148108;0;31472
BDI;Kayanza;Kayanza;-2.939383;29.612158;0;46972
BDI;Muramvya;Muramvya;-3.268547;29.621244;0;25323
BDI;Makamba;Makamba;-4.134423;29.807550;0;17673
BDI;Cibitoke;Cibitoke;-2888470;29.124268;0;21848
BDI;Cankuzo;Cankuzo;-3.184733;30.539048;0;16963
BDI;Karuzi;Karuzi;-3.106320;30.161802;0;17526
BDI;Gitega;Gitega;-3.429889;29.922938;0;48905
BDI;Bunjumbura Mairie;Bunjumbura Mairie;-3.474802;29.336572;0;39742
BDI;Bubanza;Bubanza;-3.099514;29.410503;0;14349
BDI;Bururi;Bururi;-3.918160;29.553265;0;27660
BDI;Bunjumbura Rural;Bunjumbura Rural;-3.452965;29.470120;11699

