ISO3;Branch;Location;lat;lng;Staff;Volunteers
CMR;Comité départemental du Djerem;Comité départemental du Djerem;6.420861;12.621595;No data;25
CMR;FARO ET DEO;FARO ET DEO;7.440524;12.254594;No data;36
CMR;MAYO BANYO;MAYO BANYO;6.534173;11.797961;No data;112
CMR;MBERE;MBERE;6.381893;14.100136;No data;75	
CMR;VINA;VINA;7.060077;13.728927;No data;149	
CMR;HAUT SANAGA;HAUT SANAGA;4.776827;12.621467;No data;28
CMR;LEKIE;LEKIE;4.069337;11.433908;No data;32	
CMR;MBAM ET INOUBOU;MBAM ET INOUBOU;4.724919;10.890221;No data;65	
CMR;MBAM ET KIM;MBAM ET KIM;5.444152;11.888922;No data;24	
CMR;MEFOU ET AFAMBA;MEFOU ET AFAMBA;3.904429;11.797827;No data;65
CMR;MEFOU ET AKONO;MEFOU ET AKONO;3.551645;11.38846;No data;35	
CMR;MFOUNDI;MFOUNDI;3.875;11.527;No data;155	
CMR;NYONG ET KELLE;NYONG ET KELLE;3.756331;10.890285;No data;25	
CMR;NYONG ET MFOUMOU;NYONG ET MFOUMOU;3.896605;12.346257;No data;32	
CMR;NYONG ET SO'O;NYONG ET SO'O;3.429156;11.615789;No data;56	
CMR;BOUMBA AND NGOKO;BOUMBA AND NGOKO;2.5435;15.4360;No data;204	
CMR;UPPER NYONG;UPPER NYONG;3.206;13.723;No data;96	
CMR;KADEY;KADEY;4.4304;14.3593;No data;97	
CMR;LOM AND DJEREM;LOM AND DJEREM;5.661707;13.893155;No data;90	
CMR;DIAMARE;DIAMARE;10.902986;14.565302;No data;442	
CMR;LOGONE ET CHARI;LOGONE ET CHARI;11.858989;14.845036;No data;65	
CMR;MAYO DANAI;MAYO DANAI;10.347585;15.125748;No data;800	
CMR;MAYO KANI;MAYO KANI;10.374154;14.565341;No data;78	
CMR;MAYO SAVA;MAYO SAVA;11.094125;14.193042;No data;86	
CMR;MAYO TSANAGA;MAYO TSANAGA;10.406663;13.821584;No data;225	
CMR;MOUNGO;MOUNGO;4.256909;9.633538;No data;75	
CMR;NKAM;NKAM;4.572878;10.170143;No data;25	
CMR;SANAGA MARITIME;SANAGA MARITIME;3.846322;10.08072;No data;233	
CMR;WOURI;WOURI;3.970832;9.767835;No data;215	
CMR;BENOUE;BENOUE;9.105718;13.728833;No data;562	
CMR;FARO;FARO;8.0648;12.7624;No data;32	
CMR;MAYO - LOUTI;MAYO - LOUTI;9.927762;13.775119;No data;89	
CMR;MAYO - REY;MAYO - REY;7.872546;14.658776;No data;35	
CMR;BOYO;BOYO;6.346499;10.394447;No data;76	
CMR;BUI	;BUI;6.254309;10.754879;No data;54	
CMR;DONGA AND MANTUNG;DONGA AND MANTUNG;6.546221;10.890056;No data;42	
CMR;MENCHUM;MENCHUM;6.560135;10.170317;No data;44	
CMR;MEZAM;MEZAM;6.096184;10.30486;No data;115	
CMR;MOMO;MOMO;5.9702;9.7776;No data;80	
CMR;NGOK-ETUNJIA;NGOK-ETUNJIA;5.974001;10.365778;No data;32	
CMR;BAMBOUTOS;BAMBOUTOS;5.8867;10.3895;No data;69	
CMR;HAUT NKAM;HAUT NKAM;5.105001;10.125533;No data;97	
CMR;HAUT PLATEAUX;HAUT PLATEAUX;5.286838;10.327312;No data;65	
CMR;KOUNGKHI;KOUNGKHI;5.289455;10.461026;No data;78	
CMR;MENOUA;MENOUA;5.43594;10.035932;No data;85	
CMR;MIFI;MIFI;5.512691;10.394684;No data;75	
CMR;NDE;NDE;5.057118;10.529578;No data;55	
CMR;NOUN;NOUN;5.464531;10.799865;No data;112	
CMR;DJA ET LOBO;DJA ET LOBO;2.557993;12.621365;No data;57	
CMR;MVILA;MVILA;2.801559;11.433916;No data;55	
CMR;OCEAN;OCEAN;3.0168;10.3165;No data;65	
CMR;VALLE DU NTEM;VALLE DU NTEM;2.573201;10.80007;No data;25	
CMR;FAKO;FAKO;4.098329;9.278353;No data;135	
CMR;KUPE MANENGUOBA;KUPE MANENGUOBA;5.072057;9.63399;No data;85	
CMR;LEBIALEM;LEBIALEM;5.684977;10.035794;No data;67	
CMR;MANYU;MANYU;5.822504;9.366959;No data;68	
CMR;MEME;MEME;4.584839;9.278485No data;172	
CMR;NDIAN;NDIAN;4.834222;9.012732;No data;76	

