ISO3;Branch;Location;lat;lng;Staff;Volunteers
COD;SIEGE;KINSHASA;10.279388;11.172741;46;0
COD;BAS-UELE;BAS-UELE;4.00554;24.900748;8;6852
COD;EQUATEUR;EQUATEUR;0.0303377;18.295546;12;2700
COD;HAUT KATANGA;HAUT KATANGA;-11.685834;27.501784;16;10500
COD;HAUT LOMAMI;HAUT LOMAMI;-7.702823;24.903178;11;5762
COD;HAUT-UELE;HAUT-UELE;3.622026;28.290591;8;3085
COD;ITURI;ITURI;1.603103;29.417468;10;2116
COD;KASAI;KASAI;-5.039467;20.711895;12;5112
COD;KASAI CENTRAL;KASAI CENTRAL;-5.896624;22.416948;16;8205
COD;KASAI ORIENTAL;KASAI ORIENTAL;-6.103217;23.593612;6;3600
COD;KINSHASA;KINSHASA;-4.440128;15.26518;22;13240;22;13240
COD;KONGO CENTRAL;KONGO CENTRAL;-5.230055;13.912774;26;6642;20;11200
COD;KWANGO;KWANGO;-6.400774;17.668887;26;6642
COD;KWILU;KWILU;-5.109765;18.428312;22;4152
COD;LOMAMI;LOMAMI;-6.142154;24.524649;5;3960
COD;LUALABA;LUALABA;-9.455253;22.993309;6;2500
COD;MAINDOMBE;MAINDOMBE;-2.634304;18.418164;6;5100
COD;MANIEMA;MANIEMA;-3.066342;26.040662;15;4740
COD;MONGALA;MONGALA;2.006428;21.472667;12;10700
COD;NORD-KIVU;NORD-KIVU;-0.781921;29.044079;24;7600
COD;NORD-UBANGI;NORD-UBANGI;3.793616;21.474714;8;6243
COD;SANKURU;SANKURU;-2.840367;23.380947;6;4100
COD;SUD-KIVU;SUD-KIVU;-3.003736;28.298957;15;13240
COD;SUD-UBANGI;SUD-UBANGI;3.234719;19.187718;23;9642
COD;TANGANYIKA;TANGANYIKA;-6.253957;27.913602;26;14235
COD;TSHOPO;TSHOPO;0.554866;24.901566;22;4866
COD;TSHUAPA;TSHUAPA;-0.552297;21.855248;12;2174

















































































































































































































































































































































































































