ISO3;Branch;Location;lat;lng;Staff;Volunteers
GAB;Comité local du 1er  Arrondissement;Estuaire(Komo-mondah);0.079123;9.634094;1;448
GAB;Comité local du 2eme  Arrondissement;Estuaire(Komo);0.154064;10.07953;1;299
GAB;Comité local du 3eme  Arrondissement;Estuaire(Noya);0.74313;10.08033;0;258
GAB;Comité local du 4eme  Arrondissement;Estuaire;0.63951;10.78898;0;106
GAB;Comité local du 5eme  Arrondissement;Estuaire;-0.01325;10.31658;1;273
GAB;Comité local du 6er  Arrondissement;Estuaire;-0.37567;9.504502;1;330
GAB;Comité local d'Owendo;Estuaire;0.051779;9.858259;1;114
GAB;Comité local du Haut-Ogooué;Haut-Ogooué;-1.47626;13.9144;0;127
GAB;Comité local du Moyen-Ogooué;	Moyen-Ogooué;-0.44279;10.43966;0;59
GAB;Comité local de l'Ogooué-Ivindo;Ogooué-Ivindo;0.881832;13.17404;1;155
GAB;Comité local de l'Ogooué-lolo;Ogooué-lolo;-0.88441;12.43806;1;54
GAB;Comité local de l'Ogooué Maritime;Ogooué Maritime;-1.3466;9.723267;1;150
GAB;Comité local de la Nyanga;Nyanga;-2.8818;11.16169;0;45
GAB;Comité local de la Ngounié;Ngounié;-1.49303;10.9807;1;90
GAB;Comité local du Woleu-Ntem;Woleu-Ntem;1.489241;11.70683;1;61
