ISO3;Branch;Location;lat;lng;Staff;Volunteers
LSO;Berea;Berea;-29.174;27.958;8;472
LSO;Butha Buthe;Butha Buthe;-28.819;28.622;1;310
LSO;Leribe;Leribe;-29.022;28.376;1;428
LSO;Mafeteng;Mafeteng;-29.789549;27.451884;1;738
LSO;Maseru;Maseru;-29.50514;27.81277;46;468
LSO;Mohale's Hoek;Mohale's Hoek;-30.073;27.748;4;850
LSO;Mokhotlong;Mokhotlong;-29.266;29.069;13;242
LSO;Qacha's Nek;Qacha's Nek;-30.024;28.642;1;418
LSO;Quthing;Quthing;-30.196;28.038;1;379
LSO;Thaba Tseka;Thaba Tseka;-29.46139;28.28806;3;99
