ISO3;Branch;Location;lat;lng;Staff;Volunteers

MOZ;Maputo;Cidade;Maputo City;-25.969247;32.573175;6;206
MOZ;Maputo;Provincia;Matola City;-25.256986;32.537278;6;297
MOZ;Gaza;Xai-Xai City;-23.022192;32.718133;38;683
MOZ;Inhambane;Inhambane City;-23.866217;35.382675;9;1109
MOZ;Sofala;Beira City;-19.203911,;34.862417;6;1870
MOZ;Manica;Chimoio City;-19.505978,;33.438353;11;357
MOZ;Tete;Tete City;-15.240219,;33.398100;10;877
MOZ;Zambézia;Quelimane City;-16.563897;36.609392;10;1450
MOZ;Nampula;Nampula City;-15.126633;39.268717;6;907
MOZ;Cabo;Delgado;Pemba City;-12.751156;38.990156;7;590
MOZ;Niassa;Lichinga City;-12.807028,;36.643328;3;142
