ISO3;Branch;Location;lat;lng;Staff;Volunteers
NGA;Ebonyi;Ebonyi;6.2917;8.0255;no data;no data
NGA;Kaduna;Kaduna;10.375;7.854;no data;no data
NGA;Ogun;Ogun;7.102;3.407;no data;no data
NGA;Ekiti;Ekiti;7.698;5.326;no data;no data
NGA;Ondo;Ondo;6.962;5.256;no data;no data
NGA;Delta;Delta;5.6430;6.0575;no data;no data
NGA;Borno;Borno;11.211;13.203;no data;no data
NGA;Bauch;Bauch;10.773;10.052;no data;no data
NGA;Edo;Edo;6.756;5.954;no data;no data
NGA;Kebbi;Kebbi;11.686;4.280;no data;no data
NGA;Yobe;Yobe;12.039;11.699;no data;no data
NGA;Jigawa;Jigawa;12.234;9.764;no data;no data
NGA;Anambra;Anambra;6.3570;6.9638;no data;no data
NGA;Gombe;Gombe;10.415;11.354;no data;no data
NGA;Oyo;Oyo;8.177;3.714;no data;no data
NGA;Kwara;Kwara;8.939;4.561;no data;no data
NGA;Taraba;Taraba;8.015;10.898;no data;no data
NGA;Plateau;Plateau;9.012;9.794;no data;no data
NGA;Kano;Kano;11.833;8.555;no data;no data
NGA;Katsina;Katsina;12.3315;7.7214;no data;no data
NGA;Lagos;Lagos;6.558;3.772;no data;no data
NGA;Kogi;Kogi;7.627;6.844;no data;no data
NGA;Borno;Borno;11.352;13.297;no data;no data
NGA;Benue;Benue;7.362;8.840;no data;no data
NGA;Niger;Niger;9.850;5.948;no data;no data
NGA;Osun;Osun;7.576;4.634;no data;no data
NGA;Imo;Imo;5.574;7.173;no data;no data
NGA;Rivers;Rivers;4.9995;6.8777;no data;no data
NGA;Sokoto;Sokoto;13.041;5.343;no data;no data
NGA;Abia;Abia;5.6334;7.5954;no data;no data
NGA;Akwa ibon;Akwa ibon;4.9470;7.8944;no data;no data
NGA;Bayelsa;Bayelsa;4.9544;6.0929;no data;no data
NGA;Adanawa;Adanawa;9.354;12.536;no data;no data
NGA;Enugu;Enugu;6.572;7.509;no data;no data
NGA;Zamfara;Zamfara;12.210;6.136;no data;no data
