ISO3;Branch;Location;lat;lng;Staff;Volunteers
RWA;GASABO District Branch;GASABO;-1.8872;30.1589;1;657
RWA;KICUKIRO District Branch;KICUKIRO;-2.0021;30.1501;0;569
RWA;NYARUGENGE District Branch;NYARUGENGE;-1.9997;30.0393;0;741
RWA;BUGESERA  District Branch;BUGESERA;-2.1043;30.1428;1;812
RWA;RWAMAGANA  District Branch;RWAMAGANA;-1.9733;30.3785;0;745
RWA;KAYONZA  District Branch;KAYONZA;-1.8354;30.6753;1;801
RWA;GASTIBO  District Branch;GASTIBO;-1.6158;30.4562;0;745
RWA;NYAGATARE  District Branch;NYAGATARE;-1.3723;30.4039;1;819
RWA;NGOMA  District Branch;NGOMA;-2.1791;30.4655;1;684
RWA;KIREHE  District Branch;KIREHE;-2.2041;30.7349;0;712
RWA;GICUMBI  District Branch;GICUMBI;-1.6324;30.1364;PF;847
RWA;BURERA  District Branch;BURERA;-1.4574;29.8445;0;799
RWA;MUSANZE District Branch;MUSANZE;-1.5014;29.6753;1;1,152
RWA;GAKENKE  District Branch;GAKENKE;-1.6884;29.7990;;949
RWA;RULINDO  District Branch;RULINDO;-1.7139;29.9956;PF;1,058
RWA;RUBAVU  District Branch;RUBAVU;-1.6620;29.3404;PF;1,228
RWA;RUTSIRO  District Branch;RUTSIRO;-1.8513;29.3208;PF;342
RWA;KARONGI  District Branch;KARONGI;-2.1329;29.4201;1;876
RWA;NYABIHU  District Branch;NYABIHU;-1.6415;29.5194;PF;298
RWA;NGORORERO District Branch;NGORORERO;-1.8425;29.5682;1;325
RWA;NYAMASHEKE  District Branch;NYAMASHEKE;-2.3028;29.1944;0;1,224
RWA;RUSIZI  District Branch;RUSIZI;-2.52226;29.12628;1;1,094
RWA;MUHANGA  District Branch;MUHANGA;-1.9766;29.7344;1;427
RWA;KAMONYI  District Branch;KAMONYI;-1.9942;29.8884;0;330
RWA;RUHANGO District Branch;RUHANGO;-2.1868;29.7789;0;495
RWA;NYANZA  District Branch;NYANZA;-2.26649;29.75510;1;1,295
RWA;HUYE  District Branch;HUYE;-2.4818;29.7364;1;1,218
RWA;NYAMAGABE  District Branch;NYAMAGABE;-2.3830;29.5613;0;874
RWA;NYARUGURU  District;NYARUGURU;-2.59991;29.59719;1;832
RWA;GISAGARA  District Branch;GISAGARA;-2.6136;29.8568;0;1,288
