ISO3;Branch;Location;lat;lng;Staff;Volunteers
TZA;ARUSHA;ARUSHA;-3.396752;36.679615;1;150 
TZA;DAR ES SALAAM;DAR ES SALAAM;-6.806286;39.195217;3;300 
TZA;DODOMA;DODOMA;-6.168845;35.752547;1;200 
TZA;GEITA;GEITA;-2.887361;32.225563;2;320 
TZA;KIGOMA;KIGOMA;-4.877160;29.649946;3;800 
TZA;KAGERA;KAGERA;-2.764980;31.193051;2;900 
TZA;KILIMANJARO;KILIMANJARO;-3.036226;37.262795;2;450 
TZA;LINDI;LINDI;-9.986380;39.701523;No data;60 
TZA;MARA;MARA;-1.583599;34.155425;1;850 
TZA;MANYARA;MANYARA;-4.258868;37.087999;No data;80 
TZA;MOROGORO;MOROGORO;-6.810380;37.672694;1;230 
TZA;MBEYA;MBEYA;-8.913264;33.461152;1;140 
TZA;MWANZA;MWANZA;-2.515180;32.916622;3;1,000 
TZA;MTWARA;MTWARA;-10.316756;40.175585;1;1,100 
TZA;PWANI;PWANI;-6.888076;38.905923;1;221 
TZA;RUVUMA;RUVUMA;-10.373698;36.418710;No data;100 
TZA;RUKWA;RUKWA;-6.921021;31.504909;1;120 
TZA;SHINYANGA;SHINYANGA;-3.675005;33.422759;2;1,000 
TZA;SINGIDA;SINGIDA;-4.832235;34.634561;1;100 
TZA;TABORA;TABORA;-5.044443;32.819310;1;110 
TZA;TANGA;TANGA;-5.088158;39.101465;3;601 
TZA;UNGUJA KAS;UNGUJA KAS;-5.958991;39.293439;2;No data 	   
TZA;UNGUJA MJINI;UNGUJA MJINI;-6.169458;39.245140;2;110 
TZA;UNGUJA KAZ MAGH;UNGUJA KAZ MAGH;-6.103004;39.364515;No data;150 
TZA;KASKAZINI PEMBA;KASKAZINI PEMBA;-5.050841;39.785066;No data;120 
TZA;KUSINI PEMBA;KUSINI PEMBA;-5.307919;39.764963;2;160 
