ISO3;Branch;Location;lat;lng;Staff;Volunteers
ZAF;Johannesburg;Johannesburg;-26.203978;28.047861;2;50
ZAF;Benoni;Benoni;-26.149464;28.370125;11;5
ZAF;Brakpan;Brakpan;-26.235567;28.366502;30;85
ZAF;Daveyton;Daveyton;-26.144902;28.422152;70;30
ZAF;Germiston;Germiston;-26.225656;28.170524;43;80
ZAF;Soweto;Soweto;-26.248564;27.854027;N/A;N/A
ZAF;Pretoria;Pretoria;-25.745984;28.228836;4;838
ZAF;Vaal;Vaal;-27.686114;26.935553;7;43
ZAF;Vanderbijlpark;Vanderbijlpark;-26.703248;27.807659;7;96
ZAF;Vereeniging;Vereeniging;-26.596673;27.90145;7;30
ZAF;Mafikeng;Mafikeng;-25.850732;25.640865;4;68
ZAF;KwazuluNatal(ProvincialOffice);KwazuluNatal(ProvincialOffice);-28.530106;30.89673;N/A;N/A
ZAF;DurbanMetro;DurbanMetro;-29.858562;31.021885;N/A;N/A
ZAF;Howick;Howick;-29.489341;30.216777;21;233
ZAF;NewCastle;NewCastle;-27.713241;29.996013;15;145
ZAF;Pietermaritzburg;Pietermaritzburg;-29.599278;30.380245;33;280
ZAF;PortShepstone;PortShepstone;-30.727452;30.447104;N/A;N/A
ZAF;Zululand;Zululand;-27.88713;31.445681;N/A;N/A
ZAF;Umzimkhulu;Umzimkhulu;-30.263765;29.918841;N/A;N/A
ZAF;EasternCape(ProvincialOffice);EasternCape(ProvincialOffice);-32.295545;26.418873;5;158
ZAF;EastLondon;EastLondon;-33.016054;27.903429;2;29
ZAF;Grahamstown;Grahamstown;-33.31029;26.525303;0;15
ZAF;PortElizabeth;PortElizabeth;-33.958944;25.600126;7;150
ZAF;Uitenhage;Uitenhage;-33.766706;25.40017;1;34
ZAF;Maluti;Maluti;-30.261223;28.79255;1;60
ZAF;WesternCape(ProvincialOffice);WesternCape(ProvincialOffice);-33.2301;21.856077;N/A;N/A
ZAF;CentralMetropolitan;CentralMetropolitan;-27.66144;27.239704;N/A;N/A
ZAF;Greyton;Greyton;-34.053362;19.61035;N/A;N/A
ZAF;Heiderberg;Heiderberg;-34.051691;18.926446;N/A;N/A
ZAF;Hermanus;Hermanus;-34.411302;19.246275;N/A;N/A
ZAF;Knysna;Knysna;-34.034222;23.045914;N/A;N/A
ZAF;NorthernMetropolitan;NorthernMetropolitan;-26.11724;27.99997;N/A;N/A
ZAF;SouthernMetropolitan;SouthernMetropolitan;-26.200408;28.04035;N/A;N/A
ZAF;Stellenbosch;Stellenbosch;33.93206;18.860149;N/A;N/A
ZAF;Limpopo(ProvincialOffice);Limpopo(ProvincialOffice);-23.400675;29.41777;N/A;N/A
ZAF;Capricorn;Capricorn;-26.115257;28.053462;N/A;N/A
ZAF;Musina;Musina;-22.338067;30.041731;N/A;N/A
ZAF;MogalakwenaFootballForHope;MogalakwenaFootballForHope;-24.180766;29.013917;N/A;N/A
ZAF;Nelspruit;Nelspruit;-25.475278;30.969386;1;30
ZAF;Bloemfontein(ProvincialOffice);Bloemfontein(ProvincialOffice);-29.117373;26.21673;2;400
ZAF;Upington;Upington;-28.399919;21.26663;1;14
